category,rank,dimension,mean_delta,std_delta
base,1,288,0.979348,0.839451
base,2,214,0.938372,0.843600
base,3,469,0.933995,0.853241
base,4,208,0.917748,0.767123
base,5,287,0.916690,0.778303
base,6,189,0.915952,0.805196
base,7,487,0.902177,0.750344
base,8,104,0.888901,0.743546
base,9,174,0.886609,0.778159
base,10,342,0.884913,0.727792
base,11,220,0.880135,0.761548
base,12,291,0.873829,0.774192
base,13,245,0.865938,0.726138
base,14,482,0.860525,0.750992
base,15,139,0.859931,0.740579
base,16,483,0.859194,0.740874
base,17,319,0.858502,0.743525
base,18,162,0.856115,0.753621
base,19,242,0.849687,0.723656
base,20,116,0.846821,0.694340
base,21,168,0.844988,0.705182
base,22,8,0.842364,0.699968
base,23,76,0.842332,0.697613
base,24,492,0.842249,0.714781
base,25,137,0.841897,0.702098
base,26,192,0.840720,0.694277
base,27,166,0.840399,0.688063
base,28,147,0.839427,0.695601
base,29,324,0.839184,0.689515
base,30,286,0.834532,0.724241
pitchD2,1,469,1.206782,1.014189
pitchD2,2,214,1.188992,0.978508
pitchD2,3,288,1.138992,0.912521
pitchD2,4,189,1.105132,0.839468
pitchD2,5,174,1.101166,0.879587
pitchD2,6,286,1.089090,0.879596
pitchD2,7,220,1.077929,0.887017
pitchD2,8,287,1.057845,0.824225
pitchD2,9,342,1.053600,0.816962
pitchD2,10,137,1.048207,0.804627
pitchD2,11,10,1.032661,0.863135
pitchD2,12,291,1.025986,0.823802
pitchD2,13,319,1.022017,0.829044
pitchD2,14,192,1.018853,0.800197
pitchD2,15,85,1.014499,0.814317
pitchD2,16,258,1.012273,0.797715
pitchD2,17,264,1.012079,0.758727
pitchD2,18,245,1.001572,0.834240
pitchD2,19,487,1.001520,0.765378
pitchD2,20,208,0.995684,0.789212
pitchD2,21,242,0.994224,0.770302
pitchD2,22,104,0.992157,0.782674
pitchD2,23,89,0.988338,0.784314
pitchD2,24,168,0.986164,0.776582
pitchD2,25,470,0.984857,0.783033
pitchD2,26,482,0.980437,0.773092
pitchD2,27,489,0.979034,0.771083
pitchD2,28,205,0.978971,0.801530
pitchD2,29,181,0.978579,0.732033
pitchD2,30,440,0.966014,0.757495
pitchD4,1,469,1.280538,1.055425
pitchD4,2,214,1.245772,0.975544
pitchD4,3,174,1.194468,0.937024
pitchD4,4,288,1.165304,0.920897
pitchD4,5,286,1.160223,0.911637
pitchD4,6,189,1.143124,0.864817
pitchD4,7,10,1.142213,0.919332
pitchD4,8,342,1.119778,0.843075
pitchD4,9,220,1.115797,0.869297
pitchD4,10,137,1.101294,0.848703
pitchD4,11,319,1.069093,0.861453
pitchD4,12,85,1.065445,0.815934
pitchD4,13,168,1.063692,0.811457
pitchD4,14,192,1.062194,0.806002
pitchD4,15,503,1.050135,0.787963
pitchD4,16,415,1.048128,0.741610
pitchD4,17,287,1.046941,0.811776
pitchD4,18,291,1.046395,0.823190
pitchD4,19,487,1.045999,0.798980
pitchD4,20,495,1.045907,0.782564
pitchD4,21,371,1.044509,0.795733
pitchD4,22,264,1.044072,0.821191
pitchD4,23,440,1.044063,0.785859
pitchD4,24,208,1.041918,0.822000
pitchD4,25,181,1.039273,0.782612
pitchD4,26,245,1.038212,0.770262
pitchD4,27,242,1.035645,0.769189
pitchD4,28,368,1.025490,0.775225
pitchD4,29,489,1.023907,0.799133
pitchD4,30,409,1.017479,0.784460
pitchD4_tempo090,1,469,1.321905,1.039550
pitchD4_tempo090,2,214,1.319057,1.027320
pitchD4_tempo090,3,286,1.304523,0.922268
pitchD4_tempo090,4,288,1.291933,0.969046
pitchD4_tempo090,5,174,1.272933,0.949661
pitchD4_tempo090,6,10,1.197107,0.929857
pitchD4_tempo090,7,220,1.188775,0.909168
pitchD4_tempo090,8,189,1.181695,0.874064
pitchD4_tempo090,9,342,1.180649,0.877354
