category,rank,dimension,mean_delta,std_delta
base,1,469,1.002862,0.928138
base,2,214,0.966000,0.899929
base,3,288,0.958431,0.816546
base,4,174,0.931174,0.828190
base,5,291,0.907336,0.743047
base,6,342,0.901532,0.751273
base,7,85,0.896992,0.773902
base,8,76,0.895183,0.789185
base,9,287,0.894992,0.738350
base,10,10,0.894378,0.811041
base,11,220,0.893464,0.779940
base,12,104,0.892003,0.779994
base,13,208,0.884917,0.730987
base,14,166,0.876154,0.734818
base,15,484,0.873975,0.736772
base,16,147,0.867459,0.709272
base,17,242,0.867351,0.744821
base,18,503,0.865226,0.784830
base,19,483,0.865200,0.735017
base,20,205,0.859031,0.760262
base,21,264,0.858760,0.710528
base,22,286,0.855674,0.754378
base,23,409,0.855218,0.766167
base,24,137,0.854066,0.721728
base,25,482,0.850522,0.743728
base,26,440,0.849071,0.685479
base,27,319,0.848265,0.748635
base,28,162,0.848194,0.743395
base,29,495,0.846027,0.729202
base,30,189,0.845980,0.755672
pitchD2,1,469,1.322453,1.073469
pitchD2,2,214,1.270428,1.009146
pitchD2,3,174,1.201875,0.890453
pitchD2,4,342,1.185364,0.875430
pitchD2,5,189,1.165696,0.868360
pitchD2,6,288,1.162854,0.953793
pitchD2,7,220,1.143543,0.900583
pitchD2,8,286,1.132477,0.886885
pitchD2,9,10,1.123996,0.888983
pitchD2,10,287,1.106522,0.807415
pitchD2,11,85,1.095650,0.833449
pitchD2,12,245,1.086371,0.810536
pitchD2,13,205,1.085197,0.856653
pitchD2,14,291,1.076046,0.791106
pitchD2,15,319,1.072376,0.821841
pitchD2,16,482,1.070328,0.821160
pitchD2,17,186,1.060314,0.780910
pitchD2,18,258,1.058522,0.807398
pitchD2,19,104,1.054475,0.822873
pitchD2,20,255,1.047532,0.819579
pitchD2,21,147,1.044924,0.796493
pitchD2,22,89,1.040789,0.821738
pitchD2,23,503,1.039672,0.804507
pitchD2,24,415,1.039087,0.786182
pitchD2,25,168,1.038855,0.804047
pitchD2,26,181,1.037466,0.740282
pitchD2,27,76,1.037369,0.832544
pitchD2,28,368,1.035012,0.797507
pitchD2,29,264,1.028710,0.773385
pitchD2,30,484,1.024208,0.774203
pitchD4,1,469,1.359778,1.078515
pitchD4,2,214,1.353509,1.021702
pitchD4,3,174,1.289078,0.936388
pitchD4,4,286,1.237724,0.935556
pitchD4,5,288,1.215286,0.959511
pitchD4,6,220,1.201500,0.955794
pitchD4,7,189,1.187987,0.883618
pitchD4,8,10,1.168046,0.911384
pitchD4,9,342,1.151026,0.875818
pitchD4,10,503,1.135660,0.844758
pitchD4,11,85,1.126191,0.793407
pitchD4,12,291,1.114452,0.773867
pitchD4,13,147,1.108561,0.827815
pitchD4,14,76,1.104363,0.824850
pitchD4,15,137,1.100653,0.822735
pitchD4,16,319,1.098984,0.866611
pitchD4,17,482,1.094086,0.805211
pitchD4,18,287,1.091010,0.808925
pitchD4,19,264,1.086559,0.823996
pitchD4,20,368,1.084153,0.790423
pitchD4,21,192,1.081603,0.790948
pitchD4,22,371,1.080741,0.815553
pitchD4,23,241,1.076730,0.805395
pitchD4,24,104,1.074009,0.823076
pitchD4,25,258,1.073375,0.823570
pitchD4,26,255,1.071739,0.807014
pitchD4,27,415,1.067491,0.795626
pitchD4,28,489,1.064595,0.804440
pitchD4,29,89,1.064318,0.816967
pitchD4,30,242,1.061228,0.786852
pitchD4_tempo090,1,214,1.384512,1.015335
pitchD4_tempo090,2,469,1.360901,1.003522
pitchD4_tempo090,3,174,1.358681,0.923660
pitchD4_tempo090,4,288,1.279761,1.032104
pitchD4_tempo090,5,286,1.255294,0.921983
pitchD4_tempo090,6,10,1.244824,0.918615
pitchD4_tempo090,7,189,1.236919,0.928264
pitchD4_tempo090,8,342,1.231299,0.887156
pitchD4_tempo090,9,220,1.188733,0.913428
pitchD4_tempo090,10,470,1.166571,0.827484
pitchD4_tempo090,11,210,1.158401,0.869111
pitchD4_tempo090,12,205,1.152699,0.899197
pitchD4_tempo090,13,482,1.151555,0.853342
pitchD4_tempo090,14,258,1.147179,0.834080
pitchD4_tempo090,15,85,1.145839,0.822054
pitchD4_tempo090,16,147,1.142625,0.776259
pitchD4_tempo090,17,440,1.142183,0.839166
pitchD4_tempo090,18,255,1.141309,0.837185
pitchD4_tempo090,19,76,1.140633,0.830545
pitchD4_tempo090,20,503,1.139716,0.859303
pitchD4_tempo090,21,264,1.137065,0.860063
pitchD4_tempo090,22,319,1.135198,0.873406
pitchD4_tempo090,23,89,1.133675,0.876588
pitchD4_tempo090,24,487,1.130864,0.807588
pitchD4_tempo090,25,104,1.126433,0.810282
pitchD4_tempo090,26,287,1.122317,0.804883
pitchD4_tempo090,27,242,1.120489,0.820439
pitchD4_tempo090,28,415,1.118226,0.807132
pitchD4_tempo090,29,368,1.112707,0.818237
pitchD4_tempo090,30,168,1.110459,0.805093
pitchU2,1,214,1.246090,1.065399
pitchU2,2,469,1.235263,1.028659
pitchU2,3,288,1.185456,0.941867
