category,rank,dimension,mean_delta,std_delta
base,1,288,1.026767,0.849629
base,2,469,1.007969,0.900146
base,3,214,1.002687,0.932580
base,4,189,0.943690,0.775598
base,5,245,0.929735,0.728174
base,6,242,0.915224,0.732231
base,7,342,0.905919,0.760265
base,8,174,0.901111,0.817315
base,9,85,0.900202,0.781210
base,10,258,0.897667,0.745501
base,11,147,0.896119,0.736595
base,12,482,0.896107,0.779831
base,13,205,0.895291,0.767020
base,14,104,0.892418,0.737155
base,15,291,0.892313,0.767966
base,16,220,0.891132,0.785455
base,17,483,0.888183,0.742562
base,18,162,0.886649,0.787864
base,19,99,0.885069,0.724808
base,20,287,0.882188,0.765242
base,21,487,0.881864,0.705463
base,22,286,0.880372,0.758999
base,23,137,0.879723,0.705907
base,24,495,0.879543,0.750505
base,25,208,0.877477,0.738409
base,26,319,0.876729,0.750180
base,27,76,0.875075,0.733041
base,28,2,0.875048,0.728500
base,29,143,0.871445,0.688058
base,30,318,0.871304,0.690488
pitchD2,1,469,1.309570,1.047270
pitchD2,2,214,1.295636,0.979011
pitchD2,3,288,1.264999,1.008461
pitchD2,4,189,1.197112,0.889078
pitchD2,5,286,1.175314,0.895343
pitchD2,6,205,1.170876,0.889849
pitchD2,7,220,1.142968,0.878755
pitchD2,8,85,1.140599,0.832308
pitchD2,9,174,1.130840,0.876804
pitchD2,10,342,1.125417,0.861303
pitchD2,11,346,1.118253,0.852206
pitchD2,12,10,1.112878,0.868713
pitchD2,13,287,1.112198,0.808289
pitchD2,14,319,1.103433,0.835954
pitchD2,15,258,1.091436,0.835896
pitchD2,16,186,1.086535,0.813320
pitchD2,17,255,1.085281,0.843744
pitchD2,18,245,1.081467,0.786436
pitchD2,19,104,1.077714,0.803221
pitchD2,20,242,1.076582,0.821773
pitchD2,21,440,1.065088,0.805261
pitchD2,22,482,1.064427,0.806530
pitchD2,23,18,1.060829,0.767782
pitchD2,24,147,1.046967,0.785097
pitchD2,25,368,1.045342,0.756495
pitchD2,26,355,1.044487,0.771664
pitchD2,27,415,1.042162,0.759572
pitchD2,28,291,1.040835,0.776338
pitchD2,29,470,1.040403,0.783470
pitchD2,30,264,1.038023,0.786615
pitchD4,1,469,1.334114,1.036677
pitchD4,2,214,1.307673,0.971732
pitchD4,3,286,1.240249,0.908086
pitchD4,4,174,1.235003,0.902245
pitchD4,5,288,1.199498,0.930003
pitchD4,6,189,1.177333,0.885786
pitchD4,7,220,1.176151,0.879806
pitchD4,8,205,1.162259,0.883193
pitchD4,9,10,1.157570,0.848997
pitchD4,10,342,1.153784,0.867640
pitchD4,11,137,1.150033,0.863958
pitchD4,12,287,1.140080,0.808728
pitchD4,13,470,1.135791,0.818954
pitchD4,14,85,1.134838,0.828826
pitchD4,15,503,1.133080,0.837491
pitchD4,16,415,1.116887,0.824452
pitchD4,17,440,1.116367,0.868845
pitchD4,18,242,1.115917,0.825722
pitchD4,19,104,1.114676,0.809487
pitchD4,20,255,1.114660,0.844804
pitchD4,21,192,1.113881,0.822476
pitchD4,22,346,1.113165,0.779670
pitchD4,23,299,1.108091,0.868304
pitchD4,24,244,1.102530,0.801886
pitchD4,25,245,1.091163,0.814672
pitchD4,26,264,1.089487,0.792875
pitchD4,27,319,1.089288,0.814001
pitchD4,28,317,1.084608,0.811537
pitchD4,29,337,1.082049,0.797931
pitchD4,30,258,1.081086,0.791487
pitchD4_tempo090,1,214,1.401190,0.992164
pitchD4_tempo090,2,288,1.387050,1.019298
pitchD4_tempo090,3,205,1.359836,0.980683
pitchD4_tempo090,4,174,1.324604,0.921733
pitchD4_tempo090,5,469,1.314369,0.975990
pitchD4_tempo090,6,189,1.304946,0.929707
pitchD4_tempo090,7,286,1.272902,0.897668
pitchD4_tempo090,8,342,1.258199,0.894631
pitchD4_tempo090,9,220,1.245213,0.891351
pitchD4_tempo090,10,415,1.225036,0.849017
pitchD4_tempo090,11,10,1.219120,0.901169
pitchD4_tempo090,12,440,1.211764,0.869214
pitchD4_tempo090,13,85,1.195509,0.847952
pitchD4_tempo090,14,503,1.194946,0.906508
pitchD4_tempo090,15,346,1.193382,0.818314
pitchD4_tempo090,16,242,1.192264,0.839141
pitchD4_tempo090,17,319,1.188976,0.885920
pitchD4_tempo090,18,255,1.187597,0.860148
pitchD4_tempo090,19,337,1.180838,0.834900
pitchD4_tempo090,20,470,1.177507,0.828694
pitchD4_tempo090,21,258,1.176741,0.836612
pitchD4_tempo090,22,487,1.150537,0.830979
pitchD4_tempo090,23,475,1.149412,0.823039
pitchD4_tempo090,24,210,1.137123,0.864230
pitchD4_tempo090,25,186,1.134141,0.838486
pitchD4_tempo090,26,72,1.129834,0.778324
pitchD4_tempo090,27,18,1.127639,0.774030
pitchD4_tempo090,28,264,1.125707,0.819731
pitchD4_tempo090,29,104,1.125143,0.787784
pitchD4_tempo090,30,495,1.119817,0.841476
pitchU2,1,469,1.282971,1.096270
pitchU2,2,214,1.282935,1.090663
pitchU2,3,288,1.205222,0.962643
pitchU2,4,85,1.130601,0.869072
pitchU2,5,220,1.112649,0.904731
pitchU2,6,205,1.108949,0.884710
pitchU2,7,174,1.100992,0.887106
pitchU2,8,189,1.100179,0.880666
pitchU2,9,287,1.082699,0.815494
pitchU2,10,245,1.078948,0.803643
pitchU2,11,242,1.075595,0.803705
pitchU2,12,286,1.063257,0.850337
pitchU2,13,342,1.058121,0.839293
pitchU2,14,104,1.057952,0.860928
pitchU2,15,147,1.055582,0.808590
pitchU2,16,319,1.052440,0.846079
pitchU2,17,258,1.037339,0.784861
pitchU2,18,482,1.036226,0.833681
pitchU2,19,495,1.034906,0.807062
pitchU2,20,10,1.030717,0.868600
pitchU2,21,415,1.015618,0.783293
pitchU2,22,409,1.014779,0.788009
pitchU2,23,76,1.013416,0.841676
pitchU2,24,84,1.010814,0.787980
pitchU2,25,89,1.008651,0.802979
pitchU2,26,291,1.006819,0.774656
pitchU2,27,470,1.005661,0.788520
pitchU2,28,368,0.999961,0.792556
pitchU2,29,186,0.998429,0.744294
pitchU2,30,168,0.995480,0.786117
pitchU4,1,214,1.311370,1.126040
pitchU4,2,288,1.254894,1.006486
pitchU4,3,469,1.251294,1.055729
pitchU4,4,85,1.191139,0.879933
pitchU4,5,220,1.165339,0.904452
pitchU4,6,174,1.162026,0.915384
pitchU4,7,205,1.110514,0.862063
pitchU4,8,482,1.102220,0.860061
pitchU4,9,242,1.094721,0.826874
pitchU4,10,189,1.094027,0.825149
pitchU4,11,319,1.084439,0.851044
pitchU4,12,470,1.082820,0.824693
pitchU4,13,342,1.074962,0.809628
pitchU4,14,287,1.072391,0.798143
pitchU4,15,104,1.070062,0.877640
pitchU4,16,359,1.064206,0.836580
pitchU4,17,415,1.058464,0.780716
pitchU4,18,10,1.055377,0.883098
pitchU4,19,258,1.054042,0.831692
pitchU4,20,147,1.052939,0.803574
pitchU4,21,368,1.048996,0.797998
pitchU4,22,245,1.040088,0.791919
pitchU4,23,495,1.034741,0.814470
pitchU4,24,177,1.034225,0.778370
pitchU4,25,186,1.031748,0.773410
pitchU4,26,286,1.025087,0.804226
pitchU4,27,503,1.023765,0.795270
pitchU4,28,241,1.021556,0.743284
pitchU4,29,18,1.020762,0.757459
pitchU4,30,409,1.018870,0.802498
pitchU4_tempo110,1,214,1.374243,1.084438
pitchU4_tempo110,2,288,1.352867,1.068215
pitchU4_tempo110,3,469,1.311502,1.022999
