category,rank,dimension,mean_delta,std_delta
base,1,214,1.165887,0.976832
base,2,483,1.141830,0.871774
base,3,469,1.141341,0.974670
base,4,137,1.086032,0.831939
base,5,283,1.074564,0.851454
base,6,174,1.065559,0.861944
base,7,34,1.051478,0.828577
base,8,387,1.039920,0.846304
base,9,242,1.036645,0.817245
base,10,208,1.035277,0.815856
base,11,201,1.030510,0.806383
base,12,76,1.026965,0.818487
base,13,342,1.023096,0.818577
base,14,10,1.022338,0.859242
base,15,179,1.021050,0.776432
base,16,104,1.015377,0.797491
base,17,288,1.012642,0.828776
base,18,192,1.006580,0.786676
base,19,482,0.998890,0.804636
base,20,371,0.995887,0.817388
base,21,487,0.991583,0.782262
base,22,409,0.990461,0.781644
base,23,417,0.987537,0.769610
base,24,1,0.986874,0.748520
base,25,264,0.985581,0.762870
base,26,503,0.985309,0.848440
base,27,492,0.981133,0.762495
base,28,162,0.977004,0.777632
base,29,85,0.976375,0.827779
base,30,236,0.974050,0.737145
pitchD2,1,469,1.317978,1.046737
pitchD2,2,214,1.271315,0.960852
pitchD2,3,483,1.251894,0.900229
pitchD2,4,34,1.232588,0.904935
pitchD2,5,137,1.224589,0.877007
pitchD2,6,387,1.209541,0.911971
pitchD2,7,283,1.201630,0.890968
pitchD2,8,371,1.172521,0.895454
pitchD2,9,201,1.146834,0.885290
pitchD2,10,417,1.141969,0.831683
pitchD2,11,360,1.141777,0.766721
pitchD2,12,1,1.135128,0.795109
pitchD2,13,242,1.134767,0.863886
pitchD2,14,179,1.133937,0.849589
pitchD2,15,10,1.129358,0.912875
pitchD2,16,492,1.127755,0.853662
pitchD2,17,208,1.125316,0.813741
pitchD2,18,448,1.118568,0.811791
pitchD2,19,343,1.115648,0.814558
pitchD2,20,153,1.113859,0.809157
pitchD2,21,174,1.104165,0.842423
pitchD2,22,236,1.099909,0.787497
pitchD2,23,275,1.096844,0.790755
pitchD2,24,138,1.089941,0.823558
pitchD2,25,288,1.085815,0.808596
pitchD2,26,192,1.085351,0.825584
pitchD2,27,139,1.082975,0.796537
pitchD2,28,286,1.076174,0.829075
pitchD2,29,342,1.075746,0.812849
pitchD2,30,220,1.070618,0.850181
pitchD4,1,469,1.324709,1.073246
pitchD4,2,214,1.290034,0.945984
pitchD4,3,483,1.260077,0.925852
pitchD4,4,387,1.259551,0.929980
pitchD4,5,137,1.254697,0.851316
pitchD4,6,34,1.232906,0.893819
pitchD4,7,283,1.224509,0.872637
pitchD4,8,10,1.210129,0.940607
pitchD4,9,417,1.200219,0.857727
