category,rank,dimension,mean_delta,std_delta
pitchD2,1,137,0.745133,0.708677
pitchD2,2,283,0.743921,0.712358
pitchD2,3,387,0.742981,0.721493
pitchD2,4,324,0.738443,0.678438
pitchD2,5,214,0.732258,0.717448
pitchD2,6,179,0.731530,0.686646
pitchD2,7,219,0.729368,0.697652
pitchD2,8,483,0.726437,0.714889
pitchD2,9,469,0.725676,0.746089
pitchD2,10,208,0.724865,0.690370
pitchD2,11,192,0.721298,0.708196
pitchD2,12,288,0.718708,0.664159
pitchD2,13,34,0.716164,0.720532
pitchD2,14,201,0.713216,0.718469
pitchD2,15,425,0.712926,0.684676
pitchD2,16,287,0.708494,0.648721
pitchD2,17,76,0.704937,0.651672
pitchD2,18,342,0.700957,0.687621
pitchD2,19,139,0.700459,0.662205
pitchD2,20,1,0.694836,0.650549
pitchD2,21,242,0.693896,0.676862
pitchD2,22,275,0.692894,0.657019
pitchD2,23,99,0.692383,0.646432
pitchD2,24,174,0.691883,0.697200
pitchD2,25,116,0.691026,0.656402
pitchD2,26,440,0.688484,0.639016
pitchD2,27,291,0.687272,0.659136
pitchD2,28,343,0.683741,0.656404
pitchD2,29,2,0.680415,0.626598
pitchD2,30,318,0.679582,0.613182
pitchD4,1,469,0.890793,0.873741
pitchD4,2,34,0.882135,0.796186
pitchD4,3,283,0.881815,0.798236
pitchD4,4,214,0.876997,0.810296
pitchD4,5,137,0.876350,0.777619
pitchD4,6,387,0.853981,0.792692
pitchD4,7,448,0.844446,0.748387
pitchD4,8,192,0.841963,0.774988
pitchD4,9,201,0.838689,0.780213
pitchD4,10,483,0.838582,0.767425
pitchD4,11,208,0.836802,0.747676
pitchD4,12,219,0.834714,0.727167
pitchD4,13,275,0.832107,0.756362
pitchD4,14,242,0.824828,0.738947
pitchD4,15,35,0.821457,0.740768
pitchD4,16,287,0.821177,0.720669
pitchD4,17,174,0.817583,0.757920
pitchD4,18,179,0.817090,0.708232
pitchD4,19,324,0.814036,0.708528
pitchD4,20,291,0.805263,0.710782
pitchD4,21,11,0.802154,0.681197
pitchD4,22,10,0.801492,0.774849
pitchD4,23,1,0.798546,0.693863
pitchD4,24,371,0.796963,0.752260
pitchD4,25,425,0.791982,0.724120
pitchD4,26,288,0.791810,0.715295
pitchD4,27,264,0.787482,0.679701
pitchD4,28,360,0.784741,0.683265
pitchD4,29,432,0.783121,0.684890
pitchD4,30,492,0.783092,0.701602
pitchD4_tempo090,1,214,1.017989,0.885022
pitchD4_tempo090,2,469,1.013503,0.910372
pitchD4_tempo090,3,208,0.991327,0.808525
pitchD4_tempo090,4,220,0.952285,0.813645
pitchD4_tempo090,5,483,0.940715,0.772665
pitchD4_tempo090,6,288,0.939540,0.803883
pitchD4_tempo090,7,342,0.933910,0.789521
pitchD4_tempo090,8,76,0.930348,0.804877
pitchD4_tempo090,9,174,0.925583,0.829647
pitchD4_tempo090,10,10,0.917916,0.801486
pitchD4_tempo090,11,85,0.914930,0.793897
pitchD4_tempo090,12,487,0.914604,0.725778
pitchD4_tempo090,13,291,0.910050,0.776393
pitchD4_tempo090,14,482,0.906479,0.742813
pitchD4_tempo090,15,189,0.901427,0.748513
pitchD4_tempo090,16,258,0.895593,0.751021
pitchD4_tempo090,17,316,0.895073,0.718942
pitchD4_tempo090,18,34,0.892502,0.722227
pitchD4_tempo090,19,192,0.882934,0.729870
pitchD4_tempo090,20,147,0.879328,0.722408
pitchD4_tempo090,21,137,0.878340,0.698739
pitchD4_tempo090,22,343,0.878180,0.701161
pitchD4_tempo090,23,440,0.877682,0.691835
pitchD4_tempo090,24,166,0.876896,0.717264
pitchD4_tempo090,25,8,0.873726,0.702396
pitchD4_tempo090,26,339,0.871241,0.712536
pitchD4_tempo090,27,503,0.869173,0.744455
pitchD4_tempo090,28,492,0.866958,0.718542
pitchD4_tempo090,29,319,0.864681,0.725286
