category,rank,dimension,mean_delta,std_delta
bass,1,214,1.155691,0.986157
bass,2,469,1.130633,0.978008
bass,3,288,1.115816,0.905877
bass,4,174,1.065991,0.875498
bass,5,189,1.049806,0.835946
bass,6,220,1.032198,0.850596
bass,7,342,1.020654,0.809121
bass,8,286,1.018712,0.833695
bass,9,287,1.007161,0.800813
bass,10,10,1.003118,0.852895
bass,11,482,1.000324,0.805721
bass,12,85,0.992764,0.815192
bass,13,319,0.989388,0.821112
bass,14,104,0.981889,0.786398
bass,15,205,0.979690,0.797202
bass,16,291,0.978993,0.798227
bass,17,487,0.977477,0.769955
bass,18,242,0.974723,0.776098
bass,19,245,0.963999,0.773872
bass,20,258,0.963873,0.783130
bass,21,495,0.960785,0.769304
bass,22,137,0.959229,0.756770
bass,23,147,0.959215,0.754527
bass,24,192,0.957869,0.761607
bass,25,503,0.957842,0.795169
bass,26,208,0.954728,0.773268
bass,27,76,0.952016,0.761887
bass,28,264,0.950153,0.740440
bass,29,168,0.947891,0.749542
bass,30,470,0.947394,0.783259
drums,1,469,1.239018,1.033058
drums,2,214,1.233914,1.014188
drums,3,288,1.167881,0.950454
drums,4,174,1.155819,0.909887
drums,5,220,1.102078,0.888887
drums,6,342,1.098921,0.844184
drums,7,189,1.082271,0.858370
drums,8,286,1.068491,0.861720
drums,9,10,1.067592,0.867483
drums,10,287,1.053848,0.794873
drums,11,291,1.047858,0.799666
drums,12,85,1.046225,0.818422
drums,13,319,1.037361,0.839974
drums,14,482,1.034559,0.824218
drums,15,76,1.034105,0.808807
drums,16,205,1.027794,0.828169
drums,17,104,1.025129,0.816698
drums,18,147,1.024462,0.777234
drums,19,258,1.019949,0.804768
drums,20,415,1.008628,0.775355
drums,21,264,1.006425,0.773655
drums,22,89,1.005164,0.816634
drums,23,503,1.002222,0.811773
drums,24,245,0.997930,0.779966
drums,25,470,0.997620,0.793761
drums,26,242,0.997159,0.787430
drums,27,368,0.994188,0.781980
drums,28,168,0.990173,0.775513
drums,29,409,0.988574,0.791759
drums,30,484,0.984537,0.772164
other,1,214,1.267943,1.041009
other,2,469,1.235863,1.022035
other,3,288,1.219304,0.974298
other,4,205,1.126568,0.883410
other,5,189,1.124815,0.864275
other,6,174,1.123276,0.890220
other,7,220,1.117891,0.880978
other,8,85,1.104052,0.845656
other,9,342,1.087461,0.838090
other,10,286,1.080982,0.844965
other,11,319,1.068642,0.849992
other,12,242,1.065029,0.810498
other,13,10,1.061451,0.852247
other,14,245,1.060343,0.797217
other,15,104,1.056194,0.819198
other,16,287,1.054403,0.804016
other,17,258,1.050219,0.811059
other,18,470,1.042658,0.804499
other,19,482,1.040270,0.812140
other,20,291,1.031571,0.784266
other,21,415,1.031470,0.785882
other,22,147,1.030793,0.785900
other,23,264,1.025805,0.775275
other,24,186,1.024895,0.780448
other,25,503,1.020893,0.806570
other,26,495,1.017805,0.797777
other,27,76,1.012775,0.796837
other,28,346,1.010965,0.784400
other,29,409,1.009762,0.796426
other,30,440,1.003545,0.779946
