category,rank,dimension,mean_delta,std_delta
AudioLDM2,1,469,1.390403,1.073367
AudioLDM2,2,214,1.336968,1.004236
AudioLDM2,3,288,1.240684,0.994261
AudioLDM2,4,242,1.187228,0.875024
AudioLDM2,5,220,1.181757,0.878704
AudioLDM2,6,174,1.179452,0.861274
AudioLDM2,7,291,1.175632,0.834375
AudioLDM2,8,210,1.172881,0.849938
AudioLDM2,9,286,1.170124,0.858789
AudioLDM2,10,318,1.140641,0.833350
AudioLDM2,11,368,1.138865,0.846614
AudioLDM2,12,208,1.136450,0.873348
AudioLDM2,13,342,1.134611,0.821215
AudioLDM2,14,120,1.129540,0.830052
AudioLDM2,15,189,1.127435,0.833254
AudioLDM2,16,104,1.120986,0.819292
AudioLDM2,17,245,1.119782,0.808716
AudioLDM2,18,470,1.118596,0.785069
AudioLDM2,19,85,1.113674,0.807868
AudioLDM2,20,147,1.113234,0.819785
AudioLDM2,21,355,1.111383,0.800120
AudioLDM2,22,76,1.109136,0.811003
AudioLDM2,23,409,1.107338,0.809655
AudioLDM2,24,482,1.106737,0.817705
AudioLDM2,25,319,1.105410,0.850489
AudioLDM2,26,58,1.105349,0.797738
AudioLDM2,27,371,1.103098,0.800859
AudioLDM2,28,10,1.099538,0.811899
AudioLDM2,29,510,1.093009,0.845544
AudioLDM2,30,255,1.092915,0.820562
Cover,1,214,1.573311,1.196201
Cover,2,469,1.537057,1.107104
Cover,3,470,1.403584,1.047058
Cover,4,104,1.362443,1.063143
Cover,5,242,1.345119,0.956995
Cover,6,10,1.339556,0.980880
Cover,7,288,1.338506,1.011615
Cover,8,85,1.333181,1.052139
Cover,9,368,1.295972,0.944809
Cover,10,342,1.293008,0.922576
Cover,11,482,1.271550,0.875106
Cover,12,174,1.264036,0.936798
Cover,13,359,1.253845,0.904431
Cover,14,503,1.243371,0.881555
Cover,15,34,1.232097,0.865783
Cover,16,139,1.222736,0.877509
Cover,17,415,1.222294,0.895059
Cover,18,293,1.218813,0.852731
Cover,19,319,1.201023,0.883571
Cover,20,431,1.200546,0.849742
Cover,21,41,1.197584,0.886627
Cover,22,371,1.192566,0.844938
Cover,23,409,1.189783,0.851177
Cover,24,408,1.188893,0.865670
Cover,25,471,1.184406,0.869770
Cover,26,147,1.169767,0.833298
Cover,27,239,1.169233,0.850040
