final_mod_type,failure_rate_clews,n_samples_clews,failure_rate_fusion,n_samples_fusion,recovery_delta
Negative_SMP_plag,11.748998664886516,1498,15.7543391188251,1498,-4.005340453938585
Negative_SMP_plag_doubt,3.485576923076923,832,2.8846153846153846,832,0.6009615384615383
Negative_SMP_remake,6.717984604618614,1429,6.578026592022393,1429,0.13995801259622098
Negative_musicgen,53.32239540607055,1219,39.458572600492204,1219,13.863822805578344
Negative_musicgen_pitchD2,62.264150943396224,1219,48.974569319114025,1219,13.2895816242822
Negative_musicgen_pitchD4,63.166529942575885,1219,51.59967186218211,1219,11.566858080393772
Negative_musicgen_pitchD4_tempo090,63.8228055783429,1219,57.99835931091058,1219,5.824446267432322
Negative_musicgen_pitchU2,58.654634946677604,1219,47.908121410992614,1219,10.74651353568499
Negative_musicgen_pitchU4,60.541427399507796,1219,50.77932731747334,1219,9.762100082034458
Negative_musicgen_pitchU4_tempo110,63.57670221493027,1219,54.22477440525021,1219,9.351927809680063
Negative_musicgen_tempo090,54.716981132075475,1219,44.54470877768663,1219,10.172272354388845
Negative_musicgen_tempo095,54.38884331419196,1219,46.34946677604594,1219,8.039376538146023
Negative_musicgen_tempo105,54.963084495488104,1219,44.29860541427399,1219,10.664479081214111
Negative_musicgen_tempo110,53.486464315012306,1219,44.216570959803114,1219,9.269893355209192
SMP_plag,10.881174899866489,1498,14.686248331108144,1498,-3.805073431241656
SMP_plag_doubt,2.2836538461538463,832,1.6826923076923077,832,0.6009615384615385
SMP_remake,6.0967063770147165,1427,5.676243868255081,1427,0.42046250875963587
musicgen,39.37653814602133,1219,25.184577522559476,1219,14.191960623461856
musicgen_pitchD2,48.07219031993437,1219,34.70057424118129,1219,13.371616078753078
musicgen_pitchD4,49.876948318293685,1219,39.130434782608695,1219,10.74651353568499
musicgen_pitchD4_tempo090,51.92780968006563,1219,44.70877768662839,1219,7.219031993437241
musicgen_pitchU2,45.61115668580804,1219,33.55209187858901,1219,12.05906480721903
musicgen_pitchU4,49.54881050041017,1219,38.884331419196066,1219,10.664479081214104
musicgen_pitchU4_tempo110,51.68170631665299,1219,42.575881870385565,1219,9.105824446267427
musicgen_tempo090,40.44298605414274,1219,31.747333880229696,1219,8.695652173913047
musicgen_tempo095,39.8687448728466,1219,32.32157506152584,1219,7.547169811320757
musicgen_tempo105,39.78671041837572,1219,30.680885972108285,1219,9.105824446267434
musicgen_tempo110,39.04840032813782,1219,28.876127973748975,1219,10.172272354388841
