clews_metric,wealy_metric,alpha,beta,internal_val_f1_score
cosine_distance,cosine_distance,0.0,1.0,0.7586
cosine_distance,cosine_distance,0.05,0.95,0.7582
cosine_distance,cosine_distance,0.1,0.9,0.7582
cosine_distance,cosine_distance,0.15,0.85,0.7587
cosine_distance,cosine_distance,0.2,0.8,0.7594
cosine_distance,cosine_distance,0.25,0.75,0.7581
cosine_distance,cosine_distance,0.3,0.7,0.7586
cosine_distance,cosine_distance,0.35,0.65,0.7594
cosine_distance,cosine_distance,0.4,0.6,0.7611
cosine_distance,cosine_distance,0.45,0.55,0.7619
cosine_distance,cosine_distance,0.5,0.5,0.7627
cosine_distance,cosine_distance,0.55,0.45,0.7628
cosine_distance,cosine_distance,0.6,0.4,0.7641
cosine_distance,cosine_distance,0.65,0.35,0.7647
cosine_distance,cosine_distance,0.7,0.3,0.7649
cosine_distance,cosine_distance,0.75,0.25,0.7644
cosine_distance,cosine_distance,0.8,0.2,0.7634
cosine_distance,cosine_distance,0.85,0.15,0.7618
cosine_distance,cosine_distance,0.9,0.1,0.761
cosine_distance,cosine_distance,0.95,0.05,0.761
cosine_distance,cosine_distance,1.0,0.0,0.7601
cosine_distance,euclidean_distance,0.0,1.0,0.7587
cosine_distance,euclidean_distance,0.05,0.95,0.7592
cosine_distance,euclidean_distance,0.1,0.9,0.7604
cosine_distance,euclidean_distance,0.15,0.85,0.7625
cosine_distance,euclidean_distance,0.2,0.8,0.7655
cosine_distance,euclidean_distance,0.25,0.75,0.7672
cosine_distance,euclidean_distance,0.3,0.7,0.7696
cosine_distance,euclidean_distance,0.35,0.65,0.7719
cosine_distance,euclidean_distance,0.4,0.6,0.7734
cosine_distance,euclidean_distance,0.45,0.55,0.7733
cosine_distance,euclidean_distance,0.5,0.5,0.7731
cosine_distance,euclidean_distance,0.55,0.45,0.7727
cosine_distance,euclidean_distance,0.6,0.4,0.7726
cosine_distance,euclidean_distance,0.65,0.35,0.7709
cosine_distance,euclidean_distance,0.7,0.3,0.7687
cosine_distance,euclidean_distance,0.75,0.25,0.767
cosine_distance,euclidean_distance,0.8,0.2,0.7652
cosine_distance,euclidean_distance,0.85,0.15,0.7648
cosine_distance,euclidean_distance,0.9,0.1,0.7627
cosine_distance,euclidean_distance,0.95,0.05,0.7618
cosine_distance,euclidean_distance,1.0,0.0,0.7601
cosine_distance,manhattan_distance,0.0,1.0,0.7587
cosine_distance,manhattan_distance,0.05,0.95,0.7595
cosine_distance,manhattan_distance,0.1,0.9,0.7601
cosine_distance,manhattan_distance,0.15,0.85,0.7626
cosine_distance,manhattan_distance,0.2,0.8,0.7658
cosine_distance,manhattan_distance,0.25,0.75,0.7682
cosine_distance,manhattan_distance,0.3,0.7,0.7703
cosine_distance,manhattan_distance,0.35,0.65,0.7721
cosine_distance,manhattan_distance,0.4,0.6,0.7734
cosine_distance,manhattan_distance,0.45,0.55,0.7732
cosine_distance,manhattan_distance,0.5,0.5,0.7728
cosine_distance,manhattan_distance,0.55,0.45,0.7733
cosine_distance,manhattan_distance,0.6,0.4,0.7726
cosine_distance,manhattan_distance,0.65,0.35,0.7706
cosine_distance,manhattan_distance,0.7,0.3,0.7683
cosine_distance,manhattan_distance,0.75,0.25,0.7681
cosine_distance,manhattan_distance,0.8,0.2,0.766
