final_mod_type,negative_tier,count
Negative_SMP_plag,global_nearest,242
Negative_SMP_plag,intra_category_nearest,242
Negative_SMP_plag,random,242
Negative_SMP_plag_doubt,global_nearest,111
Negative_SMP_plag_doubt,intra_category_nearest,111
Negative_SMP_plag_doubt,random,111
Negative_SMP_remake,global_nearest,250
Negative_SMP_remake,intra_category_nearest,250
Negative_SMP_remake,random,250
Negative_audioldm2_none,global_nearest,1219
Negative_audioldm2_none,intra_category_nearest,1219
Negative_audioldm2_none,random,1219
Negative_audioldm2_pitchD2,global_nearest,1219
Negative_audioldm2_pitchD2,intra_category_nearest,1219
Negative_audioldm2_pitchD2,random,1219
Negative_audioldm2_pitchD4,global_nearest,1219
Negative_audioldm2_pitchD4,intra_category_nearest,1219
Negative_audioldm2_pitchD4,random,1219
Negative_audioldm2_pitchD4_tempo090,global_nearest,1219
Negative_audioldm2_pitchD4_tempo090,intra_category_nearest,1219
Negative_audioldm2_pitchD4_tempo090,random,1219
Negative_audioldm2_pitchU2,global_nearest,1219
Negative_audioldm2_pitchU2,intra_category_nearest,1219
Negative_audioldm2_pitchU2,random,1219
Negative_audioldm2_pitchU4,global_nearest,1219
Negative_audioldm2_pitchU4,intra_category_nearest,1219
Negative_audioldm2_pitchU4,random,1219
Negative_audioldm2_pitchU4_tempo110,global_nearest,1219
Negative_audioldm2_pitchU4_tempo110,intra_category_nearest,1219
Negative_audioldm2_pitchU4_tempo110,random,1219
Negative_audioldm2_tempo090,global_nearest,1219
Negative_audioldm2_tempo090,intra_category_nearest,1219
Negative_audioldm2_tempo090,random,1219
Negative_audioldm2_tempo095,global_nearest,1219
Negative_audioldm2_tempo095,intra_category_nearest,1219
Negative_audioldm2_tempo095,random,1219
Negative_audioldm2_tempo105,global_nearest,1219
Negative_audioldm2_tempo105,intra_category_nearest,1219
Negative_audioldm2_tempo105,random,1219
Negative_audioldm2_tempo110,global_nearest,1219
Negative_audioldm2_tempo110,intra_category_nearest,1219
Negative_audioldm2_tempo110,random,1219
Negative_mgeldm_bass_none,global_nearest,1011
Negative_mgeldm_bass_none,intra_category_nearest,1011
Negative_mgeldm_bass_none,random,1011
Negative_mgeldm_bass_pitchD2,global_nearest,1010
Negative_mgeldm_bass_pitchD2,intra_category_nearest,1010
Negative_mgeldm_bass_pitchD2,random,1010
Negative_mgeldm_bass_pitchD4,global_nearest,1011
Negative_mgeldm_bass_pitchD4,intra_category_nearest,1011
Negative_mgeldm_bass_pitchD4,random,1011
Negative_mgeldm_bass_pitchD4_tempo090,global_nearest,1010
Negative_mgeldm_bass_pitchD4_tempo090,intra_category_nearest,1010
Negative_mgeldm_bass_pitchD4_tempo090,random,1010
Negative_mgeldm_bass_pitchU2,global_nearest,1010
Negative_mgeldm_bass_pitchU2,intra_category_nearest,1010
Negative_mgeldm_bass_pitchU2,random,1010
Negative_mgeldm_bass_pitchU4,global_nearest,1010
Negative_mgeldm_bass_pitchU4,intra_category_nearest,1010
Negative_mgeldm_bass_pitchU4,random,1010
Negative_mgeldm_bass_pitchU4_tempo110,global_nearest,1010
Negative_mgeldm_bass_pitchU4_tempo110,intra_category_nearest,1010
Negative_mgeldm_bass_pitchU4_tempo110,random,1010
Negative_mgeldm_bass_tempo090,global_nearest,1010
Negative_mgeldm_bass_tempo090,intra_category_nearest,1010
Negative_mgeldm_bass_tempo090,random,1010
Negative_mgeldm_bass_tempo095,global_nearest,1010
Negative_mgeldm_bass_tempo095,intra_category_nearest,1010
Negative_mgeldm_bass_tempo095,random,1010
Negative_mgeldm_bass_tempo105,global_nearest,1010
Negative_mgeldm_bass_tempo105,intra_category_nearest,1010
Negative_mgeldm_bass_tempo105,random,1010
Negative_mgeldm_bass_tempo110,global_nearest,1010
Negative_mgeldm_bass_tempo110,intra_category_nearest,1010
Negative_mgeldm_bass_tempo110,random,1010
Negative_mgeldm_drums_none,global_nearest,1011
Negative_mgeldm_drums_none,intra_category_nearest,1011
Negative_mgeldm_drums_none,random,1011
Negative_mgeldm_drums_pitchD2,global_nearest,1011
Negative_mgeldm_drums_pitchD2,intra_category_nearest,1011
Negative_mgeldm_drums_pitchD2,random,1011
Negative_mgeldm_drums_pitchD4,global_nearest,1011
Negative_mgeldm_drums_pitchD4,intra_category_nearest,1011
Negative_mgeldm_drums_pitchD4,random,1011
Negative_mgeldm_drums_pitchD4_tempo090,global_nearest,1011
Negative_mgeldm_drums_pitchD4_tempo090,intra_category_nearest,1011
Negative_mgeldm_drums_pitchD4_tempo090,random,1011
Negative_mgeldm_drums_pitchU2,global_nearest,1011
Negative_mgeldm_drums_pitchU2,intra_category_nearest,1011
Negative_mgeldm_drums_pitchU2,random,1011
Negative_mgeldm_drums_pitchU4,global_nearest,1011
Negative_mgeldm_drums_pitchU4,intra_category_nearest,1011
Negative_mgeldm_drums_pitchU4,random,1011
Negative_mgeldm_drums_pitchU4_tempo110,global_nearest,1011
Negative_mgeldm_drums_pitchU4_tempo110,intra_category_nearest,1011
Negative_mgeldm_drums_pitchU4_tempo110,random,1011
Negative_mgeldm_drums_tempo090,global_nearest,1011
Negative_mgeldm_drums_tempo090,intra_category_nearest,1011
Negative_mgeldm_drums_tempo090,random,1011
Negative_mgeldm_drums_tempo095,global_nearest,1011
Negative_mgeldm_drums_tempo095,intra_category_nearest,1011
Negative_mgeldm_drums_tempo095,random,1011
Negative_mgeldm_drums_tempo105,global_nearest,1011
Negative_mgeldm_drums_tempo105,intra_category_nearest,1011
Negative_mgeldm_drums_tempo105,random,1011
Negative_mgeldm_drums_tempo110,global_nearest,1011
Negative_mgeldm_drums_tempo110,intra_category_nearest,1011
Negative_mgeldm_drums_tempo110,random,1011
Negative_mgeldm_none,global_nearest,1
Negative_mgeldm_other_none,global_nearest,1010
Negative_mgeldm_other_none,intra_category_nearest,1010
Negative_mgeldm_other_none,random,1010
Negative_mgeldm_other_pitchD2,global_nearest,1010
Negative_mgeldm_other_pitchD2,intra_category_nearest,1010
Negative_mgeldm_other_pitchD2,random,1010
Negative_mgeldm_other_pitchD4,global_nearest,1010
Negative_mgeldm_other_pitchD4,intra_category_nearest,1010
Negative_mgeldm_other_pitchD4,random,1010
Negative_mgeldm_other_pitchD4_tempo090,global_nearest,1010
Negative_mgeldm_other_pitchD4_tempo090,intra_category_nearest,1010
Negative_mgeldm_other_pitchD4_tempo090,random,1010
Negative_mgeldm_other_pitchU2,global_nearest,1010
Negative_mgeldm_other_pitchU2,intra_category_nearest,1010
Negative_mgeldm_other_pitchU2,random,1010
Negative_mgeldm_other_pitchU4,global_nearest,1010
Negative_mgeldm_other_pitchU4,intra_category_nearest,1010
Negative_mgeldm_other_pitchU4,random,1010
Negative_mgeldm_other_pitchU4_tempo110,global_nearest,1010
Negative_mgeldm_other_pitchU4_tempo110,intra_category_nearest,1010
Negative_mgeldm_other_pitchU4_tempo110,random,1010
Negative_mgeldm_other_tempo090,global_nearest,1010
Negative_mgeldm_other_tempo090,intra_category_nearest,1010
Negative_mgeldm_other_tempo090,random,1010
Negative_mgeldm_other_tempo095,global_nearest,1010
Negative_mgeldm_other_tempo095,intra_category_nearest,1010
Negative_mgeldm_other_tempo095,random,1010
Negative_mgeldm_other_tempo105,global_nearest,1010
Negative_mgeldm_other_tempo105,intra_category_nearest,1010
Negative_mgeldm_other_tempo105,random,1010
Negative_mgeldm_other_tempo110,global_nearest,1010
Negative_mgeldm_other_tempo110,intra_category_nearest,1010
Negative_mgeldm_other_tempo110,random,1010
Negative_mgeldm_pitchD2,global_nearest,1
Negative_mgeldm_pitchD4,global_nearest,1
Negative_mgeldm_pitchD4_tempo090,global_nearest,1
Negative_mgeldm_pitchU2,global_nearest,1
Negative_mgeldm_pitchU4,global_nearest,1
Negative_mgeldm_pitchU4_tempo110,global_nearest,1
Negative_mgeldm_tempo090,global_nearest,1
Negative_mgeldm_tempo095,global_nearest,1
Negative_mgeldm_tempo105,global_nearest,1
Negative_mgeldm_tempo110,global_nearest,1
Negative_mgeldm_vocals,global_nearest,1
Negative_musicgen_none,global_nearest,1219
Negative_musicgen_none,intra_category_nearest,1219
Negative_musicgen_none,random,1219
Negative_musicgen_pitchD2,global_nearest,1219
Negative_musicgen_pitchD2,intra_category_nearest,1219
Negative_musicgen_pitchD2,random,1219
Negative_musicgen_pitchD4,global_nearest,1219
Negative_musicgen_pitchD4,intra_category_nearest,1219
Negative_musicgen_pitchD4,random,1219
Negative_musicgen_pitchD4_tempo090,global_nearest,1219
Negative_musicgen_pitchD4_tempo090,intra_category_nearest,1219
Negative_musicgen_pitchD4_tempo090,random,1219
Negative_musicgen_pitchU2,global_nearest,1219
Negative_musicgen_pitchU2,intra_category_nearest,1219
Negative_musicgen_pitchU2,random,1219
Negative_musicgen_pitchU4,global_nearest,1219
Negative_musicgen_pitchU4,intra_category_nearest,1219
Negative_musicgen_pitchU4,random,1219
Negative_musicgen_pitchU4_tempo110,global_nearest,1219
Negative_musicgen_pitchU4_tempo110,intra_category_nearest,1219
Negative_musicgen_pitchU4_tempo110,random,1219
Negative_musicgen_tempo090,global_nearest,1219
Negative_musicgen_tempo090,intra_category_nearest,1219
Negative_musicgen_tempo090,random,1219
Negative_musicgen_tempo095,global_nearest,1219
Negative_musicgen_tempo095,intra_category_nearest,1219
