Stem,Pitch_Intensity,Tempo_Intensity,DSP_Category,mean_distance,std_distance,n
bass,-4.0,0.9,Extreme Down,1213.571797,229.84225,1010
bass,-4.0,1.0,Pure Modification,1177.008321,244.910949,1011
bass,-2.0,1.0,Pure Modification,1154.709172,246.933498,1010
bass,0.0,0.9,Pure Modification,1119.004839,261.057371,1010
bass,0.0,0.95,Pure Modification,1106.084401,266.248362,1010
bass,0.0,1.0,Base Generation,1083.740293,303.779444,1011
bass,0.0,1.05,Pure Modification,1118.399278,277.616619,1010
bass,0.0,1.1,Pure Modification,1137.753519,420.34143,1010
bass,2.0,1.0,Pure Modification,1147.781165,242.924876,1010
bass,4.0,1.0,Pure Modification,1161.120889,245.05296,1010
bass,4.0,1.1,Extreme Up,1212.270863,231.586214,1010
drums,-4.0,0.9,Extreme Down,1384.885256,180.278387,1011
drums,-4.0,1.0,Pure Modification,1357.655604,196.899359,1011
drums,-2.0,1.0,Pure Modification,1345.322824,202.930748,1011
drums,0.0,0.9,Pure Modification,1357.857617,196.684061,1011
drums,0.0,0.95,Pure Modification,1349.66406,201.145599,1011
drums,0.0,1.0,Base Generation,1326.629894,218.385604,1011
drums,0.0,1.05,Pure Modification,1354.279052,205.363839,1011
drums,0.0,1.1,Pure Modification,1361.979739,203.996956,1011
drums,2.0,1.0,Pure Modification,1343.423164,203.156342,1011
drums,4.0,1.0,Pure Modification,1347.03969,199.840596,1011
drums,4.0,1.1,Extreme Up,1382.252938,193.530505,1011
other,-4.0,0.9,Extreme Down,1193.676462,246.824221,1010
other,-4.0,1.0,Pure Modification,1149.840144,259.407793,1010
other,-2.0,1.0,Pure Modification,1134.672347,257.274874,1010
other,0.0,0.9,Pure Modification,1094.950867,261.19007,1010
other,0.0,0.95,Pure Modification,1081.856621,267.25404,1010
other,0.0,1.0,Base Generation,1042.122574,276.513576,1010
other,0.0,1.05,Pure Modification,1088.27305,260.791095,1010
other,0.0,1.1,Pure Modification,1098.202562,257.551528,1010
other,2.0,1.0,Pure Modification,1127.085082,257.031288,1010
other,4.0,1.0,Pure Modification,1136.223959,260.417531,1010
other,4.0,1.1,Extreme Up,1188.332996,244.289459,1010
