Stem,Pitch_Intensity,Tempo_Intensity,DSP_Category,mean_distance,std_distance,n
bass,-4.0,0.9,Extreme Down,0.244634,0.047206,761
bass,-4.0,1.0,Pure Modification,0.234625,0.050642,762
bass,-2.0,1.0,Pure Modification,0.230306,0.051159,761
bass,0.0,0.9,Pure Modification,0.222572,0.053644,761
bass,0.0,0.95,Pure Modification,0.219542,0.054578,761
bass,0.0,1.0,Base Generation,0.210701,0.061887,1011
bass,0.0,1.05,Pure Modification,0.221432,0.054684,761
bass,0.0,1.1,Pure Modification,0.223996,0.053154,761
bass,2.0,1.0,Pure Modification,0.227101,0.051135,761
bass,4.0,1.0,Pure Modification,0.229856,0.051033,761
bass,4.0,1.1,Extreme Up,0.243204,0.047548,761
drums,-4.0,0.9,Extreme Down,0.281713,0.037162,761
drums,-4.0,1.0,Pure Modification,0.27403,0.041778,761
drums,-2.0,1.0,Pure Modification,0.270109,0.043718,761
drums,0.0,0.9,Pure Modification,0.270366,0.042566,761
drums,0.0,0.95,Pure Modification,0.269077,0.04324,761
drums,0.0,1.0,Base Generation,0.259018,0.047407,1011
drums,0.0,1.05,Pure Modification,0.269712,0.044911,761
drums,0.0,1.1,Pure Modification,0.271128,0.044761,761
drums,2.0,1.0,Pure Modification,0.26746,0.044032,761
drums,4.0,1.0,Pure Modification,0.269187,0.043127,761
drums,4.0,1.1,Extreme Up,0.277904,0.040866,761
other,-4.0,0.9,Extreme Down,0.241728,0.0507,761
other,-4.0,1.0,Pure Modification,0.231357,0.053152,761
other,-2.0,1.0,Pure Modification,0.22717,0.053413,761
other,0.0,0.9,Pure Modification,0.218804,0.055145,761
other,0.0,0.95,Pure Modification,0.216102,0.05608,761
other,0.0,1.0,Base Generation,0.204442,0.057713,1010
other,0.0,1.05,Pure Modification,0.217714,0.055007,761
other,0.0,1.1,Pure Modification,0.219662,0.05431,761
other,2.0,1.0,Pure Modification,0.224848,0.053472,761
other,4.0,1.0,Pure Modification,0.227026,0.052777,761
other,4.0,1.1,Extreme Up,0.239107,0.049476,761
