Stem,Pitch_Intensity,Tempo_Intensity,DSP_Category,mean_distance,std_distance,n
bass,-4.0,0.9,Extreme Down,0.436895,0.158018,1010
bass,-4.0,1.0,Pure Modification,0.412381,0.161785,1011
bass,-2.0,1.0,Pure Modification,0.396959,0.160962,1010
bass,0.0,0.9,Pure Modification,0.372223,0.16163,1010
bass,0.0,0.95,Pure Modification,0.364712,0.163141,1010
bass,0.0,1.0,Base Generation,0.349276,0.165525,1011
bass,0.0,1.05,Pure Modification,0.371075,0.163403,1010
bass,0.0,1.1,Pure Modification,0.377071,0.162128,1010
bass,2.0,1.0,Pure Modification,0.390503,0.157439,1010
bass,4.0,1.0,Pure Modification,0.398201,0.157648,1010
bass,4.0,1.1,Extreme Up,0.431306,0.154197,1010
drums,-4.0,0.9,Extreme Down,0.567213,0.139553,1011
drums,-4.0,1.0,Pure Modification,0.540397,0.148796,1011
drums,-2.0,1.0,Pure Modification,0.5301,0.150522,1011
drums,0.0,0.9,Pure Modification,0.538398,0.14518,1011
drums,0.0,0.95,Pure Modification,0.531454,0.148152,1011
drums,0.0,1.0,Base Generation,0.511791,0.15746,1011
drums,0.0,1.05,Pure Modification,0.532973,0.150659,1011
drums,0.0,1.1,Pure Modification,0.537933,0.150257,1011
drums,2.0,1.0,Pure Modification,0.525319,0.148199,1011
drums,4.0,1.0,Pure Modification,0.527489,0.146844,1011
drums,4.0,1.1,Extreme Up,0.556023,0.143514,1011
other,-4.0,0.9,Extreme Down,0.421223,0.175141,1010
other,-4.0,1.0,Pure Modification,0.391809,0.177075,1010
other,-2.0,1.0,Pure Modification,0.382413,0.175899,1010
other,0.0,0.9,Pure Modification,0.355901,0.167001,1010
other,0.0,0.95,Pure Modification,0.348597,0.168525,1010
other,0.0,1.0,Base Generation,0.324753,0.166762,1010
other,0.0,1.05,Pure Modification,0.350911,0.165751,1010
other,0.0,1.1,Pure Modification,0.356264,0.164611,1010
other,2.0,1.0,Pure Modification,0.375614,0.17145,1010
other,4.0,1.0,Pure Modification,0.380818,0.174561,1010
other,4.0,1.1,Extreme Up,0.414311,0.171362,1010
