Stem,Pitch_Intensity,Tempo_Intensity,DSP_Category,mean_distance,std_distance,n
bass,-4.0,0.9,Extreme Down,0.798998,0.188879,1010
bass,-4.0,1.0,Pure Modification,0.736652,0.221273,1011
bass,-2.0,1.0,Pure Modification,0.702015,0.240031,1010
bass,0.0,0.9,Pure Modification,0.649737,0.264359,1010
bass,0.0,0.95,Pure Modification,0.647137,0.260913,1010
bass,0.0,1.0,Base Generation,0.561408,0.278809,1011
bass,0.0,1.05,Pure Modification,0.644687,0.257143,1010
bass,0.0,1.1,Pure Modification,0.657099,0.254946,1010
bass,2.0,1.0,Pure Modification,0.651029,0.264577,1010
bass,4.0,1.0,Pure Modification,0.669119,0.261549,1010
bass,4.0,1.1,Extreme Up,0.728697,0.235318,1010
drums,-4.0,0.9,Extreme Down,0.829355,0.162146,1011
drums,-4.0,1.0,Pure Modification,0.79209,0.195366,1011
drums,-2.0,1.0,Pure Modification,0.756486,0.219412,1011
drums,0.0,0.9,Pure Modification,0.6948,0.255504,1011
drums,0.0,0.95,Pure Modification,0.70794,0.242571,1011
drums,0.0,1.0,Base Generation,0.578487,0.291512,1011
drums,0.0,1.05,Pure Modification,0.704265,0.246958,1011
drums,0.0,1.1,Pure Modification,0.705654,0.24457,1011
drums,2.0,1.0,Pure Modification,0.703487,0.24883,1011
drums,4.0,1.0,Pure Modification,0.710012,0.246175,1011
drums,4.0,1.1,Extreme Up,0.762257,0.211131,1011
other,-4.0,0.9,Extreme Down,0.851157,0.143903,1010
other,-4.0,1.0,Pure Modification,0.803874,0.184376,1010
other,-2.0,1.0,Pure Modification,0.773089,0.200204,1010
other,0.0,0.9,Pure Modification,0.721865,0.238641,1010
other,0.0,0.95,Pure Modification,0.715309,0.233547,1010
other,0.0,1.0,Base Generation,0.604305,0.270465,1010
other,0.0,1.05,Pure Modification,0.715049,0.238708,1010
other,0.0,1.1,Pure Modification,0.721459,0.232781,1010
other,2.0,1.0,Pure Modification,0.737134,0.23325,1010
other,4.0,1.0,Pure Modification,0.753594,0.226621,1010
other,4.0,1.1,Extreme Up,0.795427,0.191437,1010
