Stem,Pitch_Intensity,Tempo_Intensity,DSP_Category,mean_distance,std_distance,n
bass,-4.0,0.9,Extreme Down,0.792202,0.196798,761
bass,-4.0,1.0,Pure Modification,0.728586,0.227739,762
bass,-2.0,1.0,Pure Modification,0.689243,0.246647,761
bass,0.0,0.9,Pure Modification,0.63795,0.264899,761
bass,0.0,0.95,Pure Modification,0.63479,0.264336,761
bass,0.0,1.0,Base Generation,0.56128,0.278796,1011
bass,0.0,1.05,Pure Modification,0.640181,0.258398,761
bass,0.0,1.1,Pure Modification,0.647887,0.257147,761
bass,2.0,1.0,Pure Modification,0.63851,0.267104,761
bass,4.0,1.0,Pure Modification,0.661176,0.264195,761
bass,4.0,1.1,Extreme Up,0.730067,0.23527,761
drums,-4.0,0.9,Extreme Down,0.825691,0.165805,761
drums,-4.0,1.0,Pure Modification,0.782569,0.202639,761
drums,-2.0,1.0,Pure Modification,0.74308,0.229686,761
drums,0.0,0.9,Pure Modification,0.684955,0.261482,761
drums,0.0,0.95,Pure Modification,0.696531,0.244167,761
drums,0.0,1.0,Base Generation,0.578323,0.291472,1011
drums,0.0,1.05,Pure Modification,0.691166,0.250253,761
drums,0.0,1.1,Pure Modification,0.693084,0.251178,761
drums,2.0,1.0,Pure Modification,0.68843,0.25571,761
drums,4.0,1.0,Pure Modification,0.700614,0.253846,761
drums,4.0,1.1,Extreme Up,0.751132,0.215394,761
other,-4.0,0.9,Extreme Down,0.851281,0.143503,761
other,-4.0,1.0,Pure Modification,0.801329,0.190081,761
other,-2.0,1.0,Pure Modification,0.764115,0.203837,761
other,0.0,0.9,Pure Modification,0.715801,0.239913,761
other,0.0,0.95,Pure Modification,0.708345,0.235482,761
other,0.0,1.0,Base Generation,0.604203,0.270463,1010
other,0.0,1.05,Pure Modification,0.70709,0.240141,761
other,0.0,1.1,Pure Modification,0.718905,0.234013,761
other,2.0,1.0,Pure Modification,0.732117,0.235327,761
other,4.0,1.0,Pure Modification,0.751342,0.226979,761
other,4.0,1.1,Extreme Up,0.79471,0.191373,761
