source_key,source_filename,stem_relpath,vocal_ratio,active_ratio,stem_rms_db,n_frames,active_frames,vocal_like_frames,vocal_valid
pair_10_comp_104s,pair_10_comp_104s.wav,pair_10_comp_104s/vocals.wav,0.9651,0.86,-24.39,1000,860,830,True
pair_10_comp_11s,pair_10_comp_11s.wav,pair_10_comp_11s/vocals.wav,0.9789,0.852,-27.58,1000,852,834,True
pair_10_comp_46s,pair_10_comp_46s.wav,pair_10_comp_46s/vocals.wav,1.0,0.629,-28.09,1000,629,629,True
pair_10_comp_58s,pair_10_comp_58s.wav,pair_10_comp_58s/vocals.wav,0.9843,0.829,-27.22,1000,829,816,True
pair_10_comp_92s,pair_10_comp_92s.wav,pair_10_comp_92s/vocals.wav,0.9964,0.83,-27.28,1000,830,827,True
pair_10_ori_132s,pair_10_ori_132s.wav,pair_10_ori_132s/vocals.wav,1.0,0.779,-20.86,1000,779,779,True
pair_10_ori_152s,pair_10_ori_152s.wav,pair_10_ori_152s/vocals.wav,0.9751,0.882,-19.25,1000,882,860,True
pair_10_ori_194s,pair_10_ori_194s.wav,pair_10_ori_194s/vocals.wav,0.9519,0.831,-19.15,1000,831,791,True
pair_10_ori_213s,pair_10_ori_213s.wav,pair_10_ori_213s/vocals.wav,0.9767,0.772,-19.48,1000,772,754,True
pair_10_ori_22s,pair_10_ori_22s.wav,pair_10_ori_22s/vocals.wav,0.941,0.78,-20.52,1000,780,734,True
pair_10_ori_42s,pair_10_ori_42s.wav,pair_10_ori_42s/vocals.wav,0.9752,0.766,-20.97,1000,766,747,True
pair_10_ori_61s,pair_10_ori_61s.wav,pair_10_ori_61s/vocals.wav,0.9606,0.939,-19.65,1000,939,902,True
pair_11_comp_104s,pair_11_comp_104s.wav,pair_11_comp_104s/vocals.wav,0.9216,0.97,-21.55,1000,970,894,True
pair_11_comp_119s,pair_11_comp_119s.wav,pair_11_comp_119s/vocals.wav,0.9498,0.956,-19.34,1000,956,908,True
pair_11_comp_136s,pair_11_comp_136s.wav,pair_11_comp_136s/vocals.wav,0.9949,0.978,-19.2,1000,978,973,True
pair_11_comp_152s,pair_11_comp_152s.wav,pair_11_comp_152s/vocals.wav,1.0,0.956,-18.77,1000,956,956,True
pair_11_comp_183s,pair_11_comp_183s.wav,pair_11_comp_183s/vocals.wav,0.999,0.966,-21.92,1000,966,965,True
pair_11_comp_23s,pair_11_comp_23s.wav,pair_11_comp_23s/vocals.wav,0.9225,0.852,-24.45,1000,852,786,True
pair_11_comp_39s,pair_11_comp_39s.wav,pair_11_comp_39s/vocals.wav,0.9512,0.923,-23.15,1000,923,878,True
